test
357s
Bananas
Dro
Fluff
Hydro
Tabs
Norco
Vics
Vikes
Watsons
Blind Squid
Cat Valium
Green
Honey Oil
Jet
K
Keller
Kelly’s Day
K-Hold
K-Ways
Special K
Super Acid
Vitamin K
K
K-Pin
Pin
Super Valium
Aceite
Acid
Acido
Alice
Angels in a Sky
Animal
Backbreaker (mixed with strychnine)
Barrel
Bart Simpson
Battery Acid
Beast
Big D
Black Acid (mixed with PCP)
Black Star
Black Sunshine
Black Tabs
Blotter
Acid
Blotter Cube
Blue Acid
Blue Barrel
Blue Chair
Blue Cheer
Blue Heaven
Blue Microdots
Blue Mist
Blue Moon
Blue Sky
Blue Star
Blue Tabs
Brown Bomber
Brown Dots
California Sunshine
Cherry Dome
Chief
Chinese Dragons
Coffee
Conductor
Contact Lens
Crackers
Crystal Tea
Cupcakes
Dental Floss
Dinosaurs
Domes
Dots
Double Dome
El Cid
Electric Kool Aid
Ellis Day
Fields
Flash
Flat Blues
Ghost
Golden Dragon
Golf Balls
Goofy
Gota
Grape Parfait
Green Wedge
Grey Shields
Hats
Hawaiian Sunshine
Hawk
Haze
Headlights
Heavenly Blue
Hits
Instant Zen
Jesus Christ Acid
Kaleidoscope
Leary
Lens
Lime Acid
"Live, Spit & Die"
Lucy in the Sky with Diamonds
Mellow Yellow
Mica
Microdot
Mighty Quinn
Mind Detergent
Mother of God
Newspapers
Orange Barrels
Orange Cubes
Orange Haze
Orange Micros
Orange Wedges
Owsley
Paper Acid
Pearly Gates
Pellets
Phoenix
Pink Blotters
Pink Panthers
Pink
Robots
Pink Wedges
Pink Witches
Pizza
Potato
Pure Love
Purple Barrels
Purple Haze
Purple Hearts
Purple Flats
Recycle
Royal Blues
Russian Sickles
Sacrament
Sandoz
Smears
Square Dancing Tickets
Strawberry Fields
Sugar Cubes
Sugar Lumps
Sunshine
Tabs
Tacatosa
Tail Lights
Teddy Bears
Ticket
Uncle Sid
Valley Dolls
Vodka Acid
Wedding Bells
Wedge
White Dust
White Fluff
White Lightening
White
Owsley
Window Glass
Window Pane
Yellow Dimples
Yellow Sunshine
Zen
