test
G
GEEB
Georgia Home Boy
Grievous Bodily Harm
Gina
Liquid E
Liquid X
Scoop
A-Bomb (mixed with marijuana)
Achivia
Adormidera
Antifreeze
Aunt Hazel
Avocado
Azucar
Bad Seed
Ballot
Basketball
Basura
Beast
Beyonce
Big Bag
Big H
Big Harry
Bird
Birdie Powder
Black
Black
Bitch
Black Goat
Black Olives
Black Paint
Black Pearl
Black Sheep
Black Tar
Blanco
Blue
Blow Dope
Blue Hero
Bombita (mixed with cocaine)
Bombs Away
Bonita
Boy
Bozo
Brea Negra
Brick Gum
Brown
Brown Crystal
Brown Rhine
Brown Sugar
Bubble Gum
Burrito
Caballo
Caballo Negro
Caca
Café
Capital
H
Carga
Caro
Cement
Chapopote
Charlie
Charlie Horse
Cheese
Chicle
Chiclosa
China
China Cat
China White
Chinese Food
Chinese Red
Chip
Chiva
Chiva Blanca
Chivones
Chocolate
Chocolate Balls
Choko
Chorizo
Chutazo
Coco
Coffee
Comida
Crown Crap
Curley Hair
Dark
Dark Girl
Dead on Arrival
(DOA)
Diesel
Diesel
Dirt
Dog Food
Doggie
Doojee
Dope
Dorado
Down
Downtown
Dreck
Dynamite
Dyno
El Diablo
Engines
Fairy Dust
Flea Powder
Foolish Powder
Galloping Horse
Gamot
Gato
George Smack
Girl
Golden Girl
Good & Plenty
Good H
Goma
Gorda
Gras
Grasin
Gravy
Gum
H
H-Caps
Hairy
Hard Candy
Harry
Hats
Hazel
Heaven Dust
Heavy
Helen
Helicopter
Hell Dust
Henry
Hercules
Hero
Him
Hombre
Horse
Hot Dope
Hummers
Jojee
Joy Flakes
Joy Powder
Junk
Kabayo
Karachi
Karate
King’s Tickets
Lemonade
Lenta
Lifesaver
Manteca
Marias
Mayo
Mazpan
Meal
Menthol
Mexican Brown
Mexican Horse
Mexican Mud
Mexican Treat
Modelo Negra
Mojo
Mole
Mongega
Morena
Morenita
Mortal
Combat
Motors
Mud
Mujer
Muzzle
Nanoo
Negra
Negra Tomasa
Negrita
Nice and Easy
Night
Noise
Obama
Old Steve
Pants
Patty
Peg
P-Funk
Piezas
Plata
Poison
Polvo
Poppy
Powder
Prostituta Negra
Puppy
Pure
Rambo
Red Chicken
Red Eagle
Reindeer Dust
Roofing Tar
Sack
Salt
Sand
Scag
Scat
Schmeck
Sheep
Shirts
Shoes
Skag
Slime
Smack
Smeck
Snickers
Speedball (mixed with cocaine)
Spider Blue
Sticky Kind
Stufa
Sugar
Sweet Jesus
Tan
Tar
Tecata
Tires
Tootsie Roll
Tragic Magic
Trees
Turtle
Vidrio
Whiskey
White
White Boy
White Girl
White Junk
White Lady
White Nurse
White Shirt
White
Stuff
Wings
Witch
Witch Hazel
Zapapote
