test
51s
151s
501s
Apple Jack
Baby T
Base
Baseball
Bazooka
Beam Me Up
Beautiful Boulders
Beemer
Bill
Blass
Bings
BJ
Black Rock
Blowcaine
Blowout
Blue
Bobo
Bolo
Bomb
Bone Crusher
Bone
Boo-Boo
Boulder
Boy
Breakfast of Champions
Bubble Gum
Bullion
Bump
Candy
Caps
Casper the Ghost
Caviar
CD
Cheap Basing
Chewies
Chingy
Clicker
Climax
Cloud
Cloud Nine
Cookies
Crib
Crunch & Munch
Devil
Devil Smoke
Dice
Dime Special
Dirty Basing
Dirty Fentanyl (mixed with fentanyl)
Double Yoke
Durin
Eastside Player
Egg
Eye Opener
Famous Dimes
Fat Bags
Fifty-One
Fish Scales
Freebase
French
Fries
Garbage Rock
Geek
Glo
Gold
Golf Ball
Gravel
Great White Hope
Grit
Groceries
Hail
Hamburger
Helper
Hard
Hotcakes
Hubba
Ice
Ice Cubes
Issues
Jelly Beans
Johnson
Kangaroo
Kokoma
Kryptonite
Love
Mixed Jive
Moon Rock
Nickel
Nuggets
One-Fifty-One
Paste
Pebbles
Pee Wee
Piedras
Pile
Pony
Primo
Quarters
Raw
Ready Rock
Red Caps
RIP (Rest in Peace)
Roca
Rock
Rock Attack
Rocks of Hell
Rocky III
Rooster
Rox
Roxanne
Roz
Schoolcraft
Scotty
Scramble
Scruples
Seven-Up
Sherms
Sight
Ball
Slab
Sleet
Smoke
Speed Boat
Square Time Bomb
Stone
Sugar Block
Takeover (mixed with fentanyl)
Teeth
Tension
Tissue
Top Gun
Troop
Ultimate
Uzi
Wave
White Ball
White Ghost
White Sugar
White
Tornado
Wrecking Crew
Yahoo
Yale
Yimyom
