test
Ace
Alien Sex Fiend (mixed with heroin)
Amoeba
Angel
Angel Dust
Angel Hair
Angel Mist
Angel Poke
Animal Tranquilizer
Aurora Borealis
Black Acid (mixed with LSD)
Black Whack
Blue Madman
Blue Star
Boat
Busy Bee
Butt Naked
Cadillac
Cliffhanger
Columbo
Cozmos
Crazy Coke
Crazy Eddie
Cucuy
Cyclones
Detroit Pink
Dipper
Domex (mixed with MDMA)
Dummy Dust
Dust
Dust Joint
Dust of Angels
Elephant
Elephant Tranquilizer
Embalming Fluid
Energizer
Fake STP
Flakes
Goon
Gorilla Tab
Gorilla
Biscuits
Green Leaves
Green Tea
Heaven & Hell
Hog
Horse Tracks
Horse Tranquilizers
Jet Fuel
Juice
Kaps
K-Blast
Killer
Kools
Leaky Leak
Lemon 714
Lethal Weapon
Love Boat
Mad Dog
Mad Man
Magic
Dust
Mean Green
Mint Leaf
Mint Weed
Mist
Monkey Dust
Monkey Tranquilizer
New Acid
New Magic
Orange Crystal
Ozone
Paz
Peace Pill
Peep
Peter Pan
Pig Killer
Puffy
Purple Rain
Red Devil
Rocket
Fuel
Rupture
Scuffle
Sheets
Sherms
Shermstick
Space (mixed with cocaine)
Spores
Stardust
STP
Super Grass
Super Kools
Surfer
Synthetic Cocaine
Taking a Cruise
T-Buzz
Tic Tac
Tish
Trank
Venom
Wack (mixed with cocaine)
Water
Wet
White Horizon
Wobble Weed
Wolf
Worm
Yellow Fever
Zombie
Zoom (mixed with marijuana)
512s
Bananas
Blue
Blueberries
Buttons
Ercs
Greenies
Hillbilly Heroin
Kickers
M-30s
Percs
Rims
Tires
Wheels
Black Button
Britton
Button
Cactus
Green Button
Half Moon
Hikori
Hikuli
Hyatari
Nubs
Seni
Shaman
Tops
Act
Drank
Lean
Purple
Purple Drank
Sizurup
Sizzurp
Syrup
Kibbles and Bits
20-Apr
Abyss
Ace of Spades
AK-47
Amnesia
Atomic Blast
Big Bang
Blaze
Black Magic Smoke
Black
Mamba
Blaze
Blue Cheese
Brain Freeze
Buzz Haze
Cherry Bomb
Chill
Chrome
Clockwork Orange
Cloud 10
Cowboy Kush
Crystal Skull
Dead Man
Devil’s Venom
Dr. Feel Good
Dragon Eye
Earth Blend
Exodus
Extreme
Fake Bake
Fruit Candy Flavors
Funky Buddha
Funky Monkey
G-Force
GI Joe
Green
Dream
Green Peace
Hammer Head
Helix
Hipster
Hysteria
Ice Dragon
Juicy Leaf
Jungle Juice
Just
Chill
K2
Kaos
Karma
Kong
Krazy Kandy
Kryp2nite
Kush
Layer Cake
Limitless
Mad Hatter
Mile High
Mystique
Ninja
Odyssey
OMG
Pandora’s Box
Phoenix
Pineapple Express
Posh
Potpourri
Pow
Rapture
Red Magic
Rewind
Scooby Snax
Sexy
Sky High
Snake Bite
Spice
Spike Diamond
Storm
Sweet Leaf
Synthetic Marijuana
Time Traveler
Top Gear
Train Wreck
Ultimate
Viper
Voodoo Child
Wazabi
Wicked
Wizard
Xtreme
Zero Gravity
Zombie
Bath Salts
Bliss
Bloom
Blow
Blue Silk
Cloud 9
Drone
Energy-1
Explosion
Flakka (Alpha-PVP)
Gravel
(Alpha-PVP)
Insect Repellant
Ivory Wave
Jewelry Cleaner
Lunar Wave
M-Cat
Meow-Meow
Ocean Burst
Phone Screen Cleaner
Plant Food
Pure Ivory
Purple Wave
Recharge
Red Dove
Scarface
Snow Leopard
Stardust
Vanilla Sky
White Dove
White Knight
White Lightening
White Magic
Zoom
Bars
Bicycle Handle Bars
Footballs
Hulk
Ladders
Planks
School Bus
Sticks
Xanies
Zanbars
Zannies
Z-Bars
