test
246
BHO
Badder
Budder
Butter
Dabs
Ear Wax
Errl
Honey Oil
SAP
Shatter
Wax
Adam
Baby Slits
Bean
Blue Kisses
Booty Juice (dissolved in liquid)
Candy
Chocolate Chips
Clarity
Dancing Shoes
Decadence
Doctor
Domex (mixed with PCP)
E
E-Bomb
Ecstasy
Essence
Eve
Kleenex
Love Doctor
Love Drug
Love Potion #9
Love Trip (mixed with mescaline)
Molly
Moon Rock
Roll
Rolling
Running
Scooby Snacks
Skittle
Slits
Smartees
Speed for Lovers
Sweets
Vitamin E
X
XTC
Big Chief
Blue Caps
Buttons
Cactus
Media Luna
Mescal
Mezcakuba
Moon
San Pedro
Topi
Accordion
Aqua
Batu
Blue
Blue Bell Ice Cream
Beers
Bottles
Bud Light
Bump
Cajitas
Chalk
Chavalones
Chicken
Chicken Powder
Christine
Christy
Clear
Clothing Cleaner
Colorado Rockies
Crank
Cream
Cri-Cri
Crink
Crisco
Crypto
Crystal
Cuadros
Day
El Gata Diablo
Evil Sister
Eye Glasses
Fire
Fizz
Flowers
Food
Frio
G-Funk
Gifts
Girls
Glass
Go-Fast
Groceries
Hard Ones
Hare
Hawaiian Salt
Hielo
Hot Ice
Ice
Ice Cream
Jug of Water
L.A. Glass
L.A. Ice
Lemons
Lemon Drop
Light
Light Beige
Livianas
Madera
Meth
Mexican Crack
Mexican Crank
Miss Girl
Montura
Motor
Muchacha
Nails
One Pot
Pantalones
Peanut Butter Crank
Piñata
Pointy Ones
Pollito
Popsicle
Purple
Raspado
Rims
Salt
Shabu
Shards
Shatter
Shaved Ice
Shiny Girl
Soap Dope
Soft Ones
Spicy Kind
Stove Top
Stuff
Super Ice
Table
Tina
Truck
Tupperware
Ventanas
Vidrio
Walking Zombie
Water
White
Windows
Witches Teeth
Yellow
Barn
Yellow Kind
Zip
Alice
Boomers
Buttons
Caps
Champiñones
Hongos
Magic
Mushies
Pizza Toppings
Shrooms
Tweezes
Auntie
Aunt Emma
Big O
Black
Black Russian (mixed with hashish)
Chandoo
China
Chinese Molasses
Chinese Tobacco
Chocolate
Cruz
Dopium
Dover’s Powder
Dream Gum
Dream Stick
Dreams
Easing
Powder
God’s Medicine
Goma
Gondola
Goric
Great Tobacco
Gum
Hocus
Hops
Incense
Joy Plant
Midnight Oil
Opio
Pen Yan
Pin Gon
Pin Yen
Pox
Skee
Toxy
Toys
When-Shee
Zero
30s
40s
Beans
Blues
Buttons
Greens
OC
Oxy
Whites
